2017-06-05,000635,英 力 特,买入,东兴证券股份有限公司邵武五一九路证券营业部,9651514.00,中信建投证券股份有限公司上海华灵路证券营业部,6111696.94,中信建投证券股份有限公司厦门民族路证券营业部,5618380.00,西藏东方财富证券股份有限公司东营东三路证券营业部,4201112.00,方正证券股份有限公司宁波解放北路证券营业部,2361188.95
2017-06-05,000672,上峰水泥,买入,海通证券股份有限公司绵阳长虹大道证券营业部,9635197.00,东兴证券股份有限公司上海肇嘉浜路证券营业部,8257249.00,华泰证券股份有限公司厦门厦禾路证券营业部,8039822.00,财通证券股份有限公司温岭中华路证券营业部,7957843.00,中信建投证券股份有限公司上海徐家汇路证券营业部,7204675.00
2017-06-05,000966,长源电力,买入,中信证券（山东）有限责任公司青岛经济技术开发区井冈,15480000.00,方正证券股份有限公司宁波解放北路证券营业部,5455668.00,财通证券股份有限公司杭州解放东路证券营业部,5160000.00,国泰君安证券股份有限公司上海分公司,5160000.00,华泰证券股份有限公司上海分公司,5148132.00
2017-06-05,000551,创元科技,买入,光大证券股份有限公司佛山季华六路证券营业部,15954338.79,招商证券股份有限公司上海翔殷路证券营业部,9628471.00,华西证券股份有限公司绵阳安昌路证券营业部,5077354.75,安信证券股份有限公司广州猎德大道证券营业部,3062726.00,东莞证券股份有限公司成都东大街证券营业部,1300050.00
2017-06-05,000638,万方发展,买入,光大证券股份有限公司慈溪观海卫证券营业部,12801170.00,中国中投证券有限责任公司深圳爱国路证券营业部,4942726.80,国信证券股份有限公司三明列东街证券营业部,1984040.00
2017-06-05,000635,英 力 特,买入,东兴证券股份有限公司邵武五一九路证券营业部,9651514.00,中信建投证券股份有限公司上海华灵路证券营业部,6111696.94,中信建投证券股份有限公司厦门民族路证券营业部,5618380.00,西藏东方财富证券股份有限公司东营东三路证券营业部,4201112.00,方正证券股份有限公司宁波解放北路证券营业部,2361188.95
2017-06-05,000672,上峰水泥,买入,海通证券股份有限公司绵阳长虹大道证券营业部,9635197.00,东兴证券股份有限公司上海肇嘉浜路证券营业部,8257249.00,华泰证券股份有限公司厦门厦禾路证券营业部,8039822.00,财通证券股份有限公司温岭中华路证券营业部,7957843.00,中信建投证券股份有限公司上海徐家汇路证券营业部,7204675.00
2017-06-05,000966,长源电力,买入,中信证券（山东）有限责任公司青岛经济技术开发区井冈,15480000.00,方正证券股份有限公司宁波解放北路证券营业部,5455668.00,财通证券股份有限公司杭州解放东路证券营业部,5160000.00,国泰君安证券股份有限公司上海分公司,5160000.00,华泰证券股份有限公司上海分公司,5148132.00
2017-06-05,000551,创元科技,买入,光大证券股份有限公司佛山季华六路证券营业部,15954338.79,招商证券股份有限公司上海翔殷路证券营业部,9628471.00,华西证券股份有限公司绵阳安昌路证券营业部,5077354.75,安信证券股份有限公司广州猎德大道证券营业部,3062726.00,东莞证券股份有限公司成都东大街证券营业部,1300050.00
2017-06-05,000638,万方发展,买入,光大证券股份有限公司慈溪观海卫证券营业部,12801170.00,中国中投证券有限责任公司深圳爱国路证券营业部,4942726.80,国信证券股份有限公司三明列东街证券营业部,1984040.00
2017-06-05,002873,新天药业,买入,华泰证券股份有限公司深圳益田路荣超商务中心证券营业,19566250.88,华鑫证券有限责任公司北京菜市口大街证券营业部,18139927.32,东方证券股份有限公司太原高新街证券营业部,15714000.00,中信证券（山东）有限责任公司淄博分公司,7475669.00,海通证券股份有限公司南京广州路证券营业部,5627682.00
2017-06-05,002837,英维克,买入,方正证券股份有限公司上海保定路证券营业部,6406671.04,英大证券有限责任公司横岗证券营业部,6196960.00,东方证券股份有限公司桂林中山中路证券营业部,4878720.00,中泰证券股份有限公司潍坊东风西街证券营业部,4591649.65,中泰证券股份有限公司慈溪天九街证券营业部,4586138.40
2017-06-05,002809,红墙股份,买入,国泰君安证券股份有限公司上海威海路证券营业部,11921900.00,东方证券股份有限公司太原高新街证券营业部,11238651.80,海通证券股份有限公司天津霞光道证券营业部,10834668.00,国泰君安证券股份有限公司南京太平南路证券营业部,9855815.50,华泰证券股份有限公司上海静安区威海路证券营业部,7461404.00
